id,title,year,date,venue,status,topic,type,primary_url,code_url,dataset_url,core_claim,method_or_benchmark,geo_relevance,relevance_tier,overlap_group,novelty_score,value_score,risk_notes,maintenance_priority
P010,"Beyond Retrieval: Modeling Confidence Decay and Deterministic Agentic Platforms in Generative Engine Optimization",2026,2026-04-04,"arXiv","preprint","Agentic trust brokerage","paper","https://arxiv.org/abs/2604.03656","","","Proposes moving from probabilistic RAG-centric GEO toward deterministic multi-agent intent routing and agent handoff.","Theoretical/industrial case framework","Adjacent future-looking architecture","adjacent","O5_agentic_commerce_platforms",3,2,"Speculative and product-specific; treat as idea source, not established evidence.","watch"
P011,"GEM-Bench: A Benchmark for Ad-Injected Response Generation within Generative Engine Marketing",2025,2025-10-07,"arXiv","preprint","Generative Engine Marketing","paper+code+benchmark","https://arxiv.org/abs/2509.14221","https://github.com/Generative-Engine-Marketing/GEM-Bench","","Benchmarks ad-injected response generation in chatbot and search scenarios with user satisfaction and engagement metrics.","Ad-injected response benchmark","Adjacent monetization layer for GEO and AI search","adjacent","O6_marketing_monetization",4,3,"Advertising can degrade trust; separate organic GEO from paid insertion.","watch"
P012,"Adversarial Search Engine Optimization for Large Language Models",2024,2024-07-02,"arXiv","preprint","Adversarial GEO / preference manipulation","paper","https://arxiv.org/abs/2406.18382","","","Shows website/plugin content can manipulate LLM selections and create a prisoner's-dilemma dynamic among competitors.","Preference manipulation attacks","Essential safety boundary for GEO","core","O7_security_adversarial",5,5,"Do not operationalize attack tactics; use for defense and policy design.","track"
P013,"Ranking Manipulation for Conversational Search Engines",2024,2024-09-25,"EMNLP 2024 Main","peer reviewed","Ranking manipulation","paper","https://arxiv.org/abs/2406.03589","","","Studies prompt-injection-style ranking manipulation in conversational search and transfer to production-like systems.","Adversarial product ranking dataset and attacks","Security-critical adjacent work","core","O7_security_adversarial",5,5,"Attack details should be handled carefully; relevant for robustness benchmarks.","track"
P014,"GASLITEing the Retrieval: Exploring Vulnerabilities in Dense Embedding-based Search",2025,2025-09-18,"ACM CCS 2025","peer reviewed","Dense retrieval SEO attacks","paper","https://arxiv.org/abs/2412.20953","","","Shows dense retrieval can be vulnerable to adversarial passages and very low poisoning rates under concept-targeted attacks.","Adversarial passage generation for dense retrieval","Important for retrieval-stage GEO risk","core","O7_security_adversarial",5,5,"Focus on defense; validates that retrieval optimization can become attack surface.","track"
P015,"Dynamics of Adversarial Attacks on Large Language Model-Based Search Engines",2025,2025-05-15,"arXiv","preprint","Game-theoretic adversarial search","paper","https://arxiv.org/abs/2501.00745","","","Models ranking manipulation as an infinitely repeated prisoner's dilemma and analyzes when cooperation or attacks emerge.","Game-theoretic model","Useful for governance and market design","adjacent","O7_security_adversarial",4,3,"Theoretical assumptions need empirical grounding.","watch"
P016,"What Evidence Do Language Models Find Convincing?",2024,2024-08-09,"ACL 2024 Main","peer reviewed","Evidence preference in RAG","paper+dataset","https://arxiv.org/abs/2402.11782","","","Builds ConflictingQA and finds models can over-weight query relevance while under-weighting evidence features humans value.","Counterfactual evidence sensitivity analysis","Explains why citation quality and corpus quality matter for GEO","adjacent","O8_rag_evidence_quality",5,4,"Not GEO-specific, but highly relevant to source selection behavior.","track"
P017,"ConflictBank: A Benchmark for Evaluating the Influence of Knowledge Conflicts in LLM",2024,2024-08-22,"arXiv","preprint","Knowledge conflicts","paper+dataset","https://arxiv.org/abs/2408.12076","","","Creates large-scale claim-evidence and QA pairs to evaluate conflicts among retrieved, encoded, and interacting knowledge.","Knowledge conflict benchmark","Useful for GEO where fresh web content conflicts with model prior knowledge","adjacent","O8_rag_evidence_quality",4,3,"Broad LLM reliability work, not GEO-specific.","watch"
P018,"When Search Engine Services meet Large Language Models: Visions and Challenges",2024,2024-06-28,"arXiv","under review","Search4LLM / LLM4Search survey","survey","https://arxiv.org/abs/2407.00128","","","Surveys mutual integration of search engines and LLMs, including Search4LLM and LLM4Search architectures and challenges.","Survey","Background map for where GEO hooks into search systems","background","O9_search_llm_architecture",3,3,"Survey-level; use for architecture vocabulary, not GEO claims.","watch"
P020,"E-GEO: A Testbed for Generative Engine Optimization in E-Commerce",2025,2026-04-02,"arXiv","preprint","E-commerce GEO benchmark","paper+code+dataset","https://arxiv.org/abs/2511.20867","https://github.com/psbagga17/E-GEO","","Introduces an e-commerce-specific GEO testbed with product-query settings and evaluates rewriting heuristics for AI-shopping visibility.","Prompt/meta-optimization over e-commerce product descriptions and ranking outcomes","Core vertical benchmark for commerce-oriented GEO","core","O2_benchmark_vertical_ecommerce",5,4,"Needs independent reproduction and comparison to AutoGEO/C-SEO; several downstream repos cite it with stronger claims than the paper alone may justify.","track"
P021,"BRIGHT: A Realistic and Challenging Benchmark for Reasoning-Intensive Retrieval",2024,2024-07-17,"arXiv","preprint","Reasoning-intensive retrieval","paper+benchmark","https://arxiv.org/abs/2407.12883","","","Provides a challenging retrieval benchmark where queries require reasoning, relevant to retrieval-stage evaluation in AI search.","Retrieval benchmark","Background for full-pipeline GEO retrieval testing","background","O9_search_llm_architecture",4,3,"Not GEO-specific; useful for retrieval stress tests only.","watch"
P022,"Large Language Models for Information Retrieval: A Survey",2023,2023-08-14,"arXiv","preprint","LLM for IR survey","survey","https://arxiv.org/abs/2308.07107","","","Surveys LLM use across query understanding, retrieval, ranking, and evaluation.","Survey","Background architecture and vocabulary for GEO retrieval/ranking layers","background","O9_search_llm_architecture",3,3,"Older than the GEO wave; use as IR background, not GEO evidence.","watch"
P023,"Search-o1: Agentic Search-Enhanced Large Reasoning Models",2025,2025-01-09,"arXiv","preprint","Agentic search reasoning","paper","https://arxiv.org/abs/2501.05366","","","Combines agentic search with LLM reasoning for complex information needs, useful for understanding search-augmented answer generation.","Agentic search-enhanced reasoning","Background for search-augmented generative engines and agentic retrieval loops","background","O9_search_llm_architecture",4,3,"Not about content optimization; relevant to engine architecture only.","watch"
P024,"Is ChatGPT Good at Search? Investigating Large Language Models as Re-Ranking Agents",2023,2023-04-19,"arXiv","preprint","LLM reranking","paper","https://arxiv.org/abs/2304.09542","","","Studies ChatGPT as a search reranking agent and highlights LLM-based ranking behavior.","LLM reranking evaluation","Background for GEO reranking-stage reasoning","background","O9_search_llm_architecture",3,3,"Pre-GEO and not production-engine-specific; use as reranking context.","watch"
